City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
0,Taltal,-25.4,-70.4833,64.53,80,8,6.08,CL,clear sky
1,Yarada,17.65,83.2667,82.36,69,31,10.0,IN,scattered clouds
2,Hermanus,-34.4187,19.2345,64.99,91,100,11.1,ZA,light rain
3,Altay,47.8667,88.1167,47.75,47,74,4.5,CN,broken clouds
4,Chokurdakh,70.6333,147.9167,10.83,90,66,13.04,RU,broken clouds
5,Ribeira Grande,38.5167,-28.7,61.59,83,82,7.34,PT,broken clouds
6,Carbonia,39.1672,8.5222,44.01,87,20,2.3,IT,few clouds
7,Liuzhou,24.3126,109.3892,64.36,93,100,4.36,CN,overcast clouds
8,Mataura,-46.1927,168.8643,64.0,69,67,5.01,NZ,broken clouds
9,Kapaa,22.0752,-159.319,80.6,57,40,13.8,US,scattered clouds
10,Deniliquin,-35.5333,144.9667,66.99,54,100,6.76,AU,overcast clouds
11,Istok,42.7808,20.4875,41.0,81,75,8.05,XK,broken clouds
12,Khatanga,71.9667,102.5,-0.54,94,86,9.15,RU,overcast clouds
13,Ushuaia,-54.8,-68.3,53.6,62,40,6.91,AR,scattered clouds
14,Havre-Saint-Pierre,50.2334,-63.5986,37.4,87,90,9.6,CA,overcast clouds
15,Mar Del Plata,-38.0023,-57.5575,66.99,88,0,5.75,AR,clear sky
16,Busselton,-33.65,115.3333,62.01,82,100,10.25,AU,overcast clouds
17,Punta Arenas,-53.15,-70.9167,48.0,87,0,6.91,CL,clear sky
18,Shaki,41.0833,47.1667,62.6,88,40,5.75,AZ,scattered clouds
19,Esperance,-33.8667,121.9,66.2,72,67,5.75,AU,broken clouds
20,Sibut,5.718,19.0739,71.78,87,100,4.88,CF,overcast clouds
21,Penzance,50.1186,-5.5371,46.0,87,90,10.36,GB,overcast clouds
22,Launceston,-41.45,147.1667,62.01,63,90,19.57,AU,overcast clouds
23,Victoria,22.2855,114.1577,73.0,69,100,1.01,HK,overcast clouds
24,Tiksi,71.6872,128.8694,10.74,82,95,11.68,RU,overcast clouds
25,Yellowknife,62.456,-114.3525,41.0,52,20,10.36,CA,few clouds
26,Saint-Augustin,51.226,-58.6502,36.7,95,100,23.82,CA,overcast clouds
27,Kavieng,-2.5744,150.7967,83.91,72,97,6.64,PG,overcast clouds
