City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Yarada,IN,82.36,scattered clouds,17.65,83.2667,Jeevan
9,Kapaa,US,80.6,scattered clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
27,Kavieng,PG,83.91,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
28,Puerto Baquerizo Moreno,EC,76.93,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
31,Berbera,SO,80.24,overcast clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
32,Sayla,IN,79.5,clear sky,22.55,71.4667,Bell Guest House
35,Rikitea,PF,77.92,few clouds,-23.1203,-134.9692,Pension Maro'i
45,Bambous Virieux,MU,78.8,light rain,-20.3428,57.7575,Casa Tia Villa
48,Avarua,CK,84.2,light rain,-21.2078,-159.775,Paradise Inn
49,Deogarh,IN,77.22,clear sky,21.5333,84.7333,RM Hostel
50,Nisia Floresta,BR,77.0,light rain,-6.0911,-35.2086,Rancho Crepusculo
51,Riyadh,SA,75.2,clear sky,24.6877,46.7219,InterContinental Riyadh
52,Hilo,US,80.6,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
53,Atuona,PF,80.28,few clouds,-9.8,-139.0333,Villa Enata
55,Sur,OM,80.53,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
58,Gewane,ET,77.43,overcast clouds,10.1664,40.6453, 
63,Jilib,SO,76.26,overcast clouds,0.4883,42.7854, 
64,Butaritari,KI,83.37,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
66,Georgetown,MY,84.2,few clouds,5.4112,100.3354,Cititel Penang
72,Kusti,SD,83.53,clear sky,13.1629,32.6635,فندق الكوباري - Kobari Hotel
81,Cockburn Town,TC,78.8,few clouds,21.4612,-71.1419,Osprey Beach Hotel
82,Nicolas Bravo,MX,84.2,overcast clouds,18.45,-88.9167, 
86,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
87,Champerico,GT,86.0,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
88,Carnarvon,AU,77.0,clear sky,-24.8667,113.6333,Hospitality Carnarvon
95,Funtua,NG,78.94,overcast clouds,11.5233,7.3081,Sani Jikan Mallam Hotel
98,Monrovia,LR,80.91,few clouds,6.3005,-10.7969,Sunset Inn
99,Namatanai,PG,86.9,overcast clouds,-3.6667,152.4333,Namatanai Hotel
104,Dhanwar,IN,81.36,clear sky,24.4167,85.9833,K G N HOTEL
111,Neiafu,TO,84.2,few clouds,-18.65,-173.9833,Mystic Sands
113,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
114,Takoradi,GH,78.24,overcast clouds,4.8845,-1.7554,Raybow International Hotel
115,Bengkulu,ID,77.29,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
116,Barabai,ID,79.79,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
121,Harper,LR,80.49,overcast clouds,4.375,-7.7169,Screensaver
123,Porbandar,IN,78.75,few clouds,21.6422,69.6093,Lords Inn Porbandar
124,Karratha,AU,82.18,clear sky,-20.7377,116.8463,ibis Styles Karratha
125,Saint-Pierre,RE,75.2,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
129,Jalu,LY,75.52,overcast clouds,29.0331,21.5482,صاحبة الفخامة
133,Roebourne,AU,82.38,clear sky,-20.7833,117.1333,Harding River Caravan Park
136,Grand Baie,MU,78.01,scattered clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
138,Portland,US,80.6,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
140,Lahaina,US,78.8,scattered clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
151,Kupang,ID,81.66,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
153,Tautira,PF,86.0,few clouds,-17.7333,-149.15,Pension Oaoa
154,Saint-Philippe,RE,77.0,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
156,Vao,NC,77.41,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
162,Arraial Do Cabo,BR,75.2,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
163,Lorengau,PG,81.93,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
169,Thinadhoo,MV,82.44,scattered clouds,0.5333,72.9333, 
171,Vaini,TO,80.6,few clouds,-21.2,-175.2,Keleti Beach Resort
175,Meulaboh,ID,76.64,overcast clouds,4.1363,96.1285,Kost Pria
179,Laguna,US,89.6,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
180,Bubaque,GW,76.78,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
181,San Cristobal,VE,84.2,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
183,Boa Vista,BR,82.4,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
186,Kulhudhuffushi,MV,83.89,broken clouds,6.6221,73.07,Haajy Guest House 1
192,Cayenne,GF,80.01,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
193,Kununurra,AU,84.2,clear sky,-15.7667,128.7333,Hotel Kununurra
202,Atar,MR,79.56,overcast clouds,20.5169,-13.0499,Oumou Elghoura
203,Yakima,US,82.4,clear sky,46.4665,-120.6678, 
205,Padang,ID,79.75,few clouds,-0.9492,100.3543,Mercure Padang
220,Bilma,NE,84.38,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
221,Araouane,ML,80.47,clear sky,18.9048,-3.5265, 
222,Soyo,AO,80.33,light rain,-6.1349,12.3689,Hotel Mpampa
223,Hithadhoo,MV,82.51,broken clouds,-0.6,73.0833,Scoop Guest House
224,Kinshasa,CD,77.0,moderate rain,-4.3246,15.3215,Star Hotel II
228,Gat,IL,81.0,overcast clouds,31.61,34.7642,OlusHome
230,Gorontalo,ID,81.88,light rain,0.5412,123.0595,Maqna Hotel by Prasanthi
231,Acarau,BR,76.98,overcast clouds,-2.8856,-40.12,castelo pizzaria
234,Bonthe,SL,81.12,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
236,Puerto Ayora,EC,77.0,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
241,Luanda,AO,80.6,few clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
243,Kuching,MY,80.6,few clouds,1.55,110.3333,The Ranee Boutique Suites
245,Tanout,NE,80.78,clear sky,14.9709,8.8879, 
266,Labuhan,ID,79.88,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
268,Vila Velha,BR,77.0,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
269,Salalah,OM,78.8,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
271,Grand Gaube,MU,78.01,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
273,Sumenep,ID,81.68,few clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
280,Domoni,KM,77.56,light rain,-12.2569,44.5319,Al Djadid
281,San,ML,89.29,broken clouds,13.3034,-4.8956,Hôtel Teriya
282,Faanui,PF,82.67,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
284,Simpang,ID,80.26,scattered clouds,-1.2667,104.0833,Sk 7 rt 1 dusun 3 rantau makmur berbak
294,Nioro,GM,82.42,scattered clouds,13.35,-15.75, 
295,Souillac,MU,78.8,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
296,Sao Jose Da Coroa Grande,BR,77.74,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
297,Mount Isa,AU,84.2,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
298,Conceicao Do Araguaia,BR,75.2,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
299,Kamalpur,IN,80.6,light rain,24.2,91.8333,Sagar Guest House. সাগর গেস্ট হাউস
302,Det Udom,TH,87.01,overcast clouds,14.906,105.0784,Chatsuda Resort
303,Saint-Joseph,RE,75.2,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
304,Singkang,MY,80.6,few clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
306,Funadhoo,MV,84.15,overcast clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
307,West Bay,KY,82.4,few clouds,19.3667,-81.4167,Calypso Cove
313,Tahoua,NE,87.8,clear sky,14.8888,5.2692,Bungalows Guesthouse
314,Auki,SB,86.13,broken clouds,-8.7676,160.7034,Auki Motel
319,Mandiana,GN,85.73,overcast clouds,10.6333,-8.6833,Centre d'accueil de Mandiana
321,Puerto Escondido,MX,80.6,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
322,Namibe,AO,81.45,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
330,Le Port,RE,77.0,overcast clouds,-20.9373,55.2919,KORBEY D'OR OUEST
331,Jiwani,PK,80.55,overcast clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
334,Trincomalee,LK,78.57,overcast clouds,8.5711,81.2335,Welcombe Hotel
335,Koumac,NC,81.36,overcast clouds,-20.5667,164.2833,Le Monitel
339,Kalmunai,LK,79.07,overcast clouds,7.4167,81.8167,VS Villa
342,Vanimo,PG,84.88,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
343,Quatre Cocos,MU,78.8,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
347,Maningrida,AU,84.56,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
348,Bowen,AU,80.6,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
349,Arlit,NE,84.04,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
355,Doha,QA,80.6,clear sky,25.2867,51.5333,Movenpick Hotel Doha
357,Cairns,AU,75.2,moderate rain,-16.9167,145.7667,Mantra Trilogy Cairns
362,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
363,Pangai,TO,82.4,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
365,Marawi,PH,84.99,overcast clouds,7.9986,124.2928,Derogongan Residence
370,Hobyo,SO,82.31,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
372,Morant Bay,JM,82.4,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
374,Adre,TD,76.77,overcast clouds,13.4667,22.2, 
379,Banjar,ID,82.4,scattered clouds,-8.19,114.9675,The Hamsa Resort
380,Mackay,AU,79.0,broken clouds,-21.15,149.2,International Lodge Motel
382,Aracati,BR,77.38,overcast clouds,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
391,Panlaitan,PH,84.2,overcast clouds,12.1191,119.8486,Panlaitan Cetro Beach
392,Maragogi,BR,77.2,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
394,Biltine,TD,82.83,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
396,Mecca,SA,84.36,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
405,Saint-Georges,GD,80.6,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
410,Cap Malheureux,MU,78.01,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
416,Pochutla,MX,82.4,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
419,Half Moon Bay,US,77.0,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
427,Phuket,TH,87.01,light rain,8.0,98.25,The Surin Phuket
428,Porto Novo,BJ,75.2,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
429,Bontang,ID,77.94,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
432,Taganak,PH,84.2,few clouds,6.0833,118.3,Taganak
434,Tutoia,BR,77.95,moderate rain,-2.7619,-42.2744,Pousada Guará's
435,Bandarban,BD,75.99,clear sky,22.1965,92.2262,Hotel Plaza
443,Kontagora,NG,82.78,overcast clouds,10.3999,5.4695,Queens Guest Inn
446,Utinga,BR,77.0,scattered clouds,-5.8172,-35.3954,Espaço de Lazer Érica Fernandes
449,Palauig,PH,83.12,overcast clouds,15.435,119.9045,Myhousebythesea
457,Belmonte,BR,75.2,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
463,Port Keats,AU,83.82,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
467,Santiago Del Estero,AR,78.1,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
471,Ambulu,ID,79.92,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
472,Vung Tau,VN,82.22,scattered clouds,10.346,107.0843,Green hotel
474,Birao,CF,78.31,overcast clouds,10.2849,22.7882, 
476,San Policarpo,PH,75.63,moderate rain,12.1791,125.5072,JM Lodge
478,Les Cayes,HT,76.46,clear sky,18.2,-73.75,Villa Orphee
479,Kinablangan,PH,86.2,light rain,7.6947,126.5503,Danny Moreno Property
480,Akyab,MM,79.23,clear sky,20.15,92.9,Hotel Memory
483,Aswan,EG,82.0,clear sky,24.0934,32.907,Nuba Nile
488,That Phanom,TH,80.6,scattered clouds,16.9364,104.7104,ณ ธาตุพนมเพลส Na That Panom Place Hotel
489,Kota Kinabalu,MY,84.2,few clouds,5.9749,116.0724,Gaya Centre Hotel
493,Bousso,TD,89.44,overcast clouds,10.4795,16.7117, 
494,Dwarka,IN,79.52,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
495,Isla Mujeres,MX,81.0,broken clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
497,Ambon,ID,77.0,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
499,Iralaya,HN,82.4,broken clouds,15.0,-83.2333,Iglesia morava renovada
500,Bandarbeyla,SO,81.91,clear sky,9.4942,50.8122,JABIR HOTEL
506,Numan,NG,85.42,overcast clouds,9.4667,12.0333,Zangun Motel
509,Makasar,ID,82.4,few clouds,-5.14,119.4221,Hotel Horison Ultima Makassar
514,Massaguet,TD,85.71,overcast clouds,12.4755,15.4365,Alwatane
520,Vaitape,PF,82.67,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
529,Tessalit,ML,81.3,clear sky,20.1986,1.0114, 
535,Sola,VU,87.8,scattered clouds,-13.8833,167.55,Leumerus Bungalows
539,Buala,SB,85.33,light rain,-8.145,159.5921,Maringe Lagoon Lodge
542,Prado,BR,75.65,scattered clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
543,Bahia Honda,CU,78.57,light rain,22.9036,-83.1592,Casa Gualberto - Deysi
544,Porto Walter,BR,76.41,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
545,Puerto Ayacucho,VE,79.65,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
547,Manta,EC,78.8,few clouds,-0.95,-80.7333,Balandra Hotel
548,Biu,NG,80.98,broken clouds,10.6129,12.1946,Emir's Palace
550,Totness,SR,77.68,broken clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
551,Wau,SS,79.5,overcast clouds,7.7029,27.9953,Universal Gab Hotel
553,Gizo,SB,81.61,broken clouds,-8.103,156.8419,Imagination Island
557,Atambua,ID,79.52,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
559,Adrar,MR,76.62,overcast clouds,20.5022,-10.0711, 
563,San Miguelito,PA,77.0,broken clouds,9.0333,-79.5,Conferencista Jose Pepe Quijada
565,Victoria Point,AU,75.0,clear sky,-27.5833,153.3,Bay Retreat Motel
573,Lafiagi,NG,82.45,overcast clouds,8.8667,5.4167,Bus group international
575,Batticaloa,LK,78.8,broken clouds,7.7102,81.6924,Grand Star Guest House
577,Bouake,CI,75.2,scattered clouds,7.6895,-5.0218,Hotel Residence Nannan
580,Port Hedland,AU,84.2,clear sky,-20.3167,118.5667,The Esplanade Hotel
581,Carutapera,BR,75.9,overcast clouds,-1.195,-46.02,Lidera
582,Bossangoa,CF,76.6,overcast clouds,6.4926,17.4552,LA PERLE DE BOSTON
584,Ceres,US,84.99,clear sky,37.5949,-120.9577,Howard Johnson by Wyndham Modesto Ceres
586,Raga,SS,79.45,overcast clouds,8.4596,25.678, 
593,La Palma,US,82.4,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
597,Buchanan,LR,80.71,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
599,San Andres,CO,82.4,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
601,Plateros,MX,75.2,clear sky,23.2167,-102.85,Hotel Mardesant
603,Barra Patuca,HN,81.25,overcast clouds,15.8,-84.2833, 
605,La Romana,DO,75.2,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
607,Palasa,IN,79.92,few clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
611,Port Blair,IN,82.62,few clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
621,Kanigoro,ID,79.63,few clouds,-8.13,112.219,Musafer Villa ( Villa Erlin )
622,Edd,ER,86.47,broken clouds,13.9297,41.6925, 
623,Dingle,PH,81.21,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
624,Kavaratti,IN,83.37,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
626,Yeppoon,AU,78.8,scattered clouds,-23.1333,150.7333,Villa Mar Colina
628,Asyut,EG,82.4,clear sky,27.181,31.1837,Florence Hotel Assiut
632,Pa Sang,TH,82.99,scattered clouds,18.5262,98.9394,โรงแรม จามจุรี 99
635,Leon,MX,82.4,clear sky,21.1167,-101.6667,Hotel Misión León
636,Rokupr,SL,80.11,moderate rain,8.6717,-12.395, 
638,Manzanillo,CU,80.67,light rain,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
642,Progreso,MX,77.0,broken clouds,21.2833,-89.6667,Playa Linda Hotel
643,San Juan,AR,76.55,overcast clouds,-31.5375,-68.5364,Hotel Provincial
644,Oranjestad,AW,80.6,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
646,Kudahuvadhoo,MV,82.56,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
647,Baghmara,IN,82.4,clear sky,23.795,86.2085,Shankar tea shop
655,Robertsport,LR,82.11,few clouds,6.7533,-11.3686,Kwepunha Retreat
659,Chapada Dos Guimaraes,BR,75.2,scattered clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
660,Mayumba,GA,77.68,overcast clouds,-3.432,10.6554,LIKWALE LODGE
